orig_addr,our_symbol_or_source_location,evidence,round,kind
0x180001100,mg5_InitActiveFalseGlobal,src/missing/MissingRound2Group2.cpp:127,round2,RECONSTRUCTED
0x180006290,ReleaseThreadControlBlock,src/missing/MissingRound2Group1.cpp:108,round2,RECONSTRUCTED
0x180007dd0,StringAppendChar,src/missing/MissingGroup3.cpp:329,round1,RECONSTRUCTED
0x18000fef0,src/missing/MissingGroup3.cpp:123,src/missing/MissingRound2Group1.cpp:14 claims StartGameThread -> src/missing/MissingGroup3.cpp:123,round2,PRESENT-UNPAIRED
0x18000fef0,StartGameThread,src/missing/MissingGroup3.cpp:122,round1,RECONSTRUCTED
0x1800107a0,ReleaseRefBlock_1800107a0,src/missing/MissingGroup1.cpp:64,round1,RECONSTRUCTED
0x180010820,DestroyFunctionVector,src/missing/MissingRound2Group3.cpp:222,round2,RECONSTRUCTED
0x180010aa0,FunctionManagerDestroy,src/missing/MissingGroup3.cpp:415,round1,RECONSTRUCTED
0x180010aa0,DestroyOneFunction,src/missing/MissingRound2Group3.cpp:284,round2,RECONSTRUCTED
0x180010b20,mg5_ThreadDtor,src/missing/MissingRound2Group2.cpp:148,round2,RECONSTRUCTED
0x180013f20,ScheduleDelayedTask,src/missing/MissingRound2Group1.cpp:148,round2,RECONSTRUCTED
0x180014140,SendMenuMessage,src/missing/MissingGroup2.cpp:379,round1,RECONSTRUCTED
0x180016820,DeletingDtor_180016820,src/missing/MissingGroup1.cpp:113,round1,RECONSTRUCTED
0x180018cc0,FunctionMoveSbo,src/missing/MissingGroup3.cpp:390,round1,RECONSTRUCTED
0x18001bbb0,IdDatabaseInstance,src/missing/MissingGroup3.cpp:172,round1,RECONSTRUCTED
0x18001e000,ThreadJoin,src/missing/MissingRound2Group3.cpp:198,round2,RECONSTRUCTED
0x180022340,PublishUiStatePacked,src/missing/MissingGroup2.cpp:434,round1,RECONSTRUCTED
0x180022be0,FormatIntoSceneField,src/missing/MissingGroup3.cpp:110,round1,RECONSTRUCTED
0x180022e60,mg5_PublishActiveState,src/missing/MissingRound2Group2.cpp:311,round2,RECONSTRUCTED
0x180023230,ConcatStrings,src/missing/MissingRound2Group1.cpp:86,round2,RECONSTRUCTED
0x1800236f0,ReleaseInterface,src/missing/MissingRound2Group3.cpp:304,round2,RECONSTRUCTED
0x180023b60,DestroyFunctionPair,src/missing/MissingRound2Group3.cpp:314,round2,RECONSTRUCTED
0x180023c10,DestroyArray16,src/missing/MissingRound2Group3.cpp:253,round2,RECONSTRUCTED
0x1800261e0,src/Presentation.cpp:143,src/missing/MissingRound2Group1.cpp:11 claims `anonymous-namespace'::ApplyPresentation -> src/Presentation.cpp:143,round2,PRESENT-UNPAIRED
0x18002bea0,src/Presentation.cpp:115,src/missing/MissingRound2Group1.cpp:13 claims `anonymous-namespace'::QueuePresentation -> src/Presentation.cpp:115,round2,PRESENT-UNPAIRED
0x18002c710,AllocateVector16,src/missing/MissingGroup3.cpp:134,round1,RECONSTRUCTED
0x18002cfd0,DispatchActionLambda,src/missing/MissingGroup3.cpp:98,round1,RECONSTRUCTED
0x18002d340,src/UiBridge.cpp:51,src/missing/MissingRound2Group1.cpp:12 claims `anonymous-namespace'::JsCatalogDone -> src/UiBridge.cpp:51,round2,PRESENT-UNPAIRED
0x18002dad0,EraseUnorderedRange,src/missing/MissingGroup3.cpp:272,round1,RECONSTRUCTED
0x18002dda0,src/missing/MissingGroup3.cpp:399,src/missing/MissingRound2Group1.cpp:18 claims DestroyFunctionArray -> src/missing/MissingGroup3.cpp:399,round2,PRESENT-UNPAIRED
0x18002dda0,DestroyFunctionArray,src/missing/MissingGroup3.cpp:397,round1,RECONSTRUCTED
0x18002e000,GrowBSTArray,src/missing/MissingRound2Group3.cpp:87,round2,RECONSTRUCTED
0x18002e0a0,LookupAndCallIdFunction2,src/missing/MissingRound2Group3.cpp:232,round2,RECONSTRUCTED
0x1800358a0,FileBufOpen,src/missing/MissingRound2Group3.cpp:207,round2,RECONSTRUCTED
0x180037490,src/missing/MissingGroup2.cpp:284,src/missing/MissingRound2Group1.cpp:21 claims mg2_IdLookupA -> src/missing/MissingGroup2.cpp:284,round2,PRESENT-UNPAIRED
0x1800374f0,Id2Offset,src/missing/MissingRound2Group1.cpp:207,round2,RECONSTRUCTED
0x180037ae0,mg5_RelIdLookup,src/missing/MissingRound2Group2.cpp:399,round2,RECONSTRUCTED
0x1800382b0,src/missing/MissingGroup3.cpp:209,src/missing/MissingRound2Group1.cpp:15 claims GetGameSettingDword -> src/missing/MissingGroup3.cpp:209,round2,PRESENT-UNPAIRED
0x1800382b0,GetGameSettingDword,src/missing/MissingGroup3.cpp:208,round1,RECONSTRUCTED
0x180039120,LookupIdGlobal,src/missing/MissingRound2Group3.cpp:120,round2,RECONSTRUCTED
0x18003a630,StringAppendRange,src/missing/MissingRound2Group3.cpp:77,round2,RECONSTRUCTED
0x18003a6c0,StringAssign,src/missing/MissingGroup3.cpp:321,round1,RECONSTRUCTED
0x18003ac10,DestroyTreeNodes,src/missing/MissingGroup3.cpp:382,round1,RECONSTRUCTED
0x18003e400,mg5_WriteAlignedFormat,src/missing/MissingRound2Group2.cpp:259,round2,RECONSTRUCTED
0x18003e6e0,FormatAlignedField,src/missing/MissingRound2Group1.cpp:251,round2,RECONSTRUCTED
