address,name,insn,file,status,total_lines
0x18001f0b0,.?AVInputSink@?A0xbb2e73b6@@::vfunc[1],167,0x18001f0b0___AVInputSink__A0xbb2e73b6____vfunc_1_.c,clean,95
0x180025fc0,`anonymous-namespace'::ApplyConsoleVisibility,126,0x180025fc0__anonymous_namespace___ApplyConsoleVisibility.c,clean,97
0x180013760,FocusRecovery::`anonymous-namespace'::Finalize,110,0x180013760_FocusRecovery___anonymous_namespace___Finalize.c,clean,101
0x1800146e0,FocusRecovery::`anonymous-namespace'::VerifyCleanup,94,0x1800146e0_FocusRecovery___anonymous_namespace___VerifyCleanup.c,clean,146
0x18002c0d0,`anonymous-namespace'::RequestSearchInput,88,0x18002c0d0__anonymous_namespace___RequestSearchInput.c,clean,86
0x180014428,FocusRecovery::`anonymous-namespace'::StartConsolePulse,68,0x180014428_FocusRecovery___anonymous_namespace___StartConsolePulse.c,clean,103
0x1800145c5,FocusRecovery::`anonymous-namespace'::VerifyCleanup,57,0x1800145c5_FocusRecovery___anonymous_namespace___VerifyCleanup.c,clean,146
0x180029120,`anonymous-namespace'::OnConsoleMessage,48,0x180029120__anonymous_namespace___OnConsoleMessage.c,clean,55
0x180014360,FocusRecovery::`anonymous-namespace'::StartConsolePulse,44,0x180014360_FocusRecovery___anonymous_namespace___StartConsolePulse.c,clean,103
0x18001f5b0,`anonymous-namespace'::CreateViews::<lambda_1>::operator(),41,0x18001f5b0__anonymous_namespace___CreateViews___lambda_1___operator__.c,clean,42
0x1800136b0,FocusRecovery::`anonymous-namespace'::CloseOwnedConsole,32,0x1800136b0_FocusRecovery___anonymous_namespace___CloseOwnedConsole.c,clean,42
0x180044740,.?AV?$_Fmt_iterator_buffer@V?$back_insert_iterator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@DU_Fmt_buffer_traits@2@@std@@::vtable[0],174,0x180044740___AV___Fmt_iterator_buffer_V__back_insert_iterator_V__basic_string_DU__char_trai.c,clean,163
0x1800102f0,.?AV_System_error@std@@::vtable[0],23,0x1800102f0___AV_System_error_std____vtable_0_.c,clean,21
0x1800158d0,.?AV_Node_base@std@@::vtable[0],23,0x1800158d0___AV_Node_base_std____vtable_0_.c,clean,20
0x1800295a4,`anonymous-namespace'::OnMessage,23,0x1800295a4__anonymous_namespace___OnMessage.c,clean,137
0x180010070,.?AV_System_error@std@@::vtable[0],21,0x180010070___AV_System_error_std____vtable_0_.c,clean,18
0x1800101e0,.?AVexception@std@@::vtable[0],15,0x1800101e0___AVexception_std____vtable_0_.c,clean,17
0x18002cc20,.?AV?$_Func_impl_no_alloc@P6AXPEAUStaticFunctionTag@RE@@H@ZXPEAU12@H@std@@::vfunc[2],5,0x18002cc20___AV___Func_impl_no_alloc_P6AXPEAUStaticFunctionTag_RE__H_ZXPEAU12_H_std____vfun.c,degraded,11
0x18002d930,.?AV?$_Func_impl_no_alloc@P6AXPEAUStaticFunctionTag@RE@@H_NHHV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@22HH111MV?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@4@V?$vector@HV?$allocator@H@std@@@4@H@ZXPEAU12@H_NHHV34@V34@V34@HH_N_N_NMV54@V64@H@std@@::vfunc[3],2,0x18002d930___AV___Func_impl_no_alloc_P6AXPEAUStaticFunctionTag_RE__H_NHHV__basic_string_DU_.c,clean,9
0x18002d950,.?AV?$_Func_impl_no_alloc@P6AXPEAUStaticFunctionTag@RE@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@4@@ZXPEAU12@V34@V54@@std@@::vfunc[3],2,0x18002d950___AV___Func_impl_no_alloc_P6AXPEAUStaticFunctionTag_RE__V__basic_string_DU__char.c,clean,9
0x18002d960,.?AV?$_Func_impl_no_alloc@P6AXPEAUStaticFunctionTag@RE@@V?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@11@ZXPEAU12@V34@V34@V34@@std@@::vfunc[3],2,0x18002d960___AV___Func_impl_no_alloc_P6AXPEAUStaticFunctionTag_RE__V__vector_V__basic_strin.c,clean,9
0x18002d970,.?AV?$_Func_impl_no_alloc@P6AXPEAUStaticFunctionTag@RE@@V?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@@ZXPEAU12@V34@@std@@::vfunc[3],2,0x18002d970___AV___Func_impl_no_alloc_P6AXPEAUStaticFunctionTag_RE__V__vector_V__basic_strin.c,clean,9
