orig_addr,name
0x180013a20,
0x1800261e0,void __cdecl `anonymous-namespace'::ApplyPresentation(void)
0x180044740,
0x18003d160,
0x180014140,
0x1800255c0,void __cdecl `anonymous-namespace'::RequestSearchInput::<lambda_1>::operator ()(void) const
0x180044ca0,
0x180022340,
0x18003e400,
0x18003cd70,
0x18001e000,
0x18003a500,
0x1800358a0,
0x18002d340,
0x18004e670,
0x180010b20,
0x18003e380,
0x180006290,
0x180040890,
0x18003a370,
0x180008a30,
0x1800140c0,
0x180023c10,
0x180045d70,
0x180037490,
0x180039120,
0x180016d20,
0x18002cb60,
0x1800522c0,
0x180053120,
0x1800236f0,
0x180010cb0,
