orig_addr,orig_insn,tier
0x1800464d0,349,library
0x1800250f0,302,library
0x180047b60,194,plugin
0x180025ce0,169,plugin
0x18004ce40,146,library
0x18002dad0,129,library
0x180022be0,127,plugin
0x18004a450,119,library
0x18003e850,115,library
0x18000fef0,102,plugin
0x18003a6c0,101,plugin
0x18002cfd0,85,plugin
0x180007dd0,82,plugin
0x180044650,68,library
0x18004dfa0,67,plugin
0x180047500,47,plugin
0x18004fb6c,45,library
0x180045980,41,library
0x180046f00,39,library
0x18003ac10,34,library
0x180018cc0,32,plugin
0x18001bbb0,30,library
0x18002dda0,25,plugin
0x1800104f0,23,library
0x1800163a0,22,library
0x18002c710,20,library
0x180055090,20,library
0x180010aa0,14,library
0x180052f30,13,library
0x180053420,13,library
0x1800382b0,10,library
0x180054d30,10,library
