orig_addr,name
0x1800464d0,g3_2
0x1800250f0,g3_3
0x180047b60,g3_4
0x180025ce0,g3_5
0x18004ce40,g3_6
0x18002dad0,g3_7
0x180022be0,g3_8
0x18004a450,g3_9
0x18003e850,g3_10
0x18000fef0,g3_11
0x18003a6c0,g3_12
0x18002cfd0,g3_13
0x180007dd0,g3_14
0x180044650,g3_15
0x18004dfa0,g3_16
0x180047500,g3_17
0x18004fb6c,g3_18
0x180045980,g3_19
0x180046f00,g3_20
0x18003ac10,g3_21
0x180018cc0,g3_22
0x18001bbb0,g3_23
0x18002dda0,g3_24
0x1800104f0,g3_25
0x1800163a0,g3_26
0x18002c710,g3_27
0x180055090,g3_28
0x180010aa0,g3_29
0x180052f30,g3_30
0x180053420,g3_31
0x1800382b0,g3_32
0x180054d30,g3_33
