orig_addr,name,area,orig_insn,named
0x18001f0b0,.?AVInputSink@?A0xbb2e73b6@@::vfunc[1],ui,167,yes
0x180025fc0,`anonymous-namespace'::ApplyConsoleVisibility,ui,126,yes
0x180013760,FocusRecovery::`anonymous-namespace'::Finalize,ui,110,yes
0x1800146e0,FocusRecovery::`anonymous-namespace'::VerifyCleanup,ui,94,yes
0x18002c0d0,`anonymous-namespace'::RequestSearchInput,ui,88,yes
0x180014428,FocusRecovery::`anonymous-namespace'::StartConsolePulse,ui,68,yes
0x1800145c5,FocusRecovery::`anonymous-namespace'::VerifyCleanup,ui,57,yes
0x180029120,`anonymous-namespace'::OnConsoleMessage,ui,48,yes
0x180014360,FocusRecovery::`anonymous-namespace'::StartConsolePulse,ui,44,yes
0x18001f5b0,`anonymous-namespace'::CreateViews::<lambda_1>::operator(),ui,41,yes
0x1800136b0,FocusRecovery::`anonymous-namespace'::CloseOwnedConsole,ui,32,yes
0x180044740,.?AV?$_Fmt_iterator_buffer@V?$back_insert_iterator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@DU_Fmt_buffer_traits@2@@std@@::vtable[0],unclassified,174,yes
0x1800102f0,.?AV_System_error@std@@::vtable[0],unclassified,23,yes
0x1800158d0,.?AV_Node_base@std@@::vtable[0],unclassified,23,yes
0x1800295a4,`anonymous-namespace'::OnMessage,unclassified,23,yes
0x180010070,.?AV_System_error@std@@::vtable[0],unclassified,21,yes
0x1800101e0,.?AVexception@std@@::vtable[0],unclassified,15,yes
0x18002cc20,.?AV?$_Func_impl_no_alloc@P6AXPEAUStaticFunctionTag@RE@@H@ZXPEAU12@H@std@@::vfunc[2],unclassified,5,yes
0x18002d930,.?AV?$_Func_impl_no_alloc@P6AXPEAUStaticFunctionTag@RE@@H_NHHV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@22HH111MV?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@4@V?$vector@HV?$allocator@H@std@@@4@H@ZXPEAU12@H_NHHV34@V34@V34@HH_N_N_NMV54@V64@H@std@@::vfunc[3],unclassified,2,yes
0x18002d950,.?AV?$_Func_impl_no_alloc@P6AXPEAUStaticFunctionTag@RE@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@4@@ZXPEAU12@V34@V54@@std@@::vfunc[3],unclassified,2,yes
0x18002d960,.?AV?$_Func_impl_no_alloc@P6AXPEAUStaticFunctionTag@RE@@V?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@11@ZXPEAU12@V34@V34@V34@@std@@::vfunc[3],unclassified,2,yes
0x18002d970,.?AV?$_Func_impl_no_alloc@P6AXPEAUStaticFunctionTag@RE@@V?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@@ZXPEAU12@V34@@std@@::vfunc[3],unclassified,2,yes
