orig_addr,insn,masked,hyp,code_refs,data_ref,exact_twin,subseq_hit,hit_insn
0x18000d194,356,128,H3-shape,0,True,False,,
0x180013a20,349,206,H3-shape,1,True,False,,
0x18003fec0,306,188,H3-shape,1,True,False,,
0x18003d710,303,154,H3-shape,1,True,False,,
0x1800250f0,302,248,H3-shape,1,True,False,,
0x1800466d0,183,64,H3-shape,2,True,False,,
0x180046910,183,64,H3-shape,2,True,False,,
0x180044740,174,106,H3-shape,1,True,False,,
0x18003af80,173,100,H3-shape,1,True,False,,
0x1800464d0,166,58,H3-shape,4,True,False,,
0x180024450,152,100,H3-shape,1,True,False,,
0x18004ce40,146,98,H3-shape,1,True,False,,
0x18003aa1b,136,66,H3-shape,0,True,False,,
0x18003eb30,134,46,H3-shape,1,True,False,,
0x180005cee,116,54,H3-shape,0,True,False,,
0x1800058ad,113,54,H3-shape,0,True,False,,
0x180001d94,112,44,H3-shape,0,True,False,,
0x1800471ca,111,56,H3-shape,0,True,False,,
0x18001e000,100,72,H3-shape,2,True,False,,
0x18003cd9e,93,62,H3-shape,0,True,False,,
0x180014dfb,84,66,H3-shape,0,True,False,,
0x180054970,83,40,H3-shape,0,True,False,,
0x18003ca10,73,38,H3-shape,0,True,False,,
0x180047e5e,73,44,H3-shape,0,True,False,,
0x18002d340,67,50,H3-shape,0,True,False,,
0x180016c10,66,46,H3-shape,0,True,False,,
0x18003a71d,64,44,H3-shape,0,True,False,,
0x180046dea,61,42,H3-shape,0,True,False,,
0x180047008,60,20,H3-shape,0,True,False,,
0x1800190b0,57,12,H3-shape,0,True,False,,
