orig_addr,name,tier,orig_insn,our_insn,bytematch,insnratio,first_div,anchor
0x180023a80,,library,7,7,0,1.0000,,icf
0x1800312f0,,library,7,7,0,1.0000,,icf
0x180031440,,library,5,5,0,1.0000,,icf
0x180048265,,library,13,13,0,1.0000,,icf
0x1800505c8,,library,19,19,0,1.0000,,icf
0x180050604,,library,35,35,0,1.0000,,icf
0x18005074c,,library,14,14,0,1.0000,,icf
0x180050778,,plugin,17,17,0,1.0000,,icf
0x180050b64,,library,67,67,0,1.0000,,icf
0x180050c7c,,library,34,34,0,1.0000,,icf
0x180050e68,,library,155,155,0,1.0000,,icf
0x180051498,,library,39,39,0,1.0000,,icf
0x180051690,,library,9,9,0,1.0000,,icf
0x180054ef0,,library,28,28,0,1.0000,,icf
0x180054fb0,,library,13,13,0,1.0000,,icf
0x180055000,,library,28,28,0,1.0000,,icf
0x18001d150,bool __cdecl REL::Module::load_version(bool),library,222,222,0,0.9955,41,name
0x1800199f0,,library,399,399,0,0.9950,56,callgraph
0x180028a00,,library,79,78,0,0.9936,16,rtti
0x18001bcd0,bool __cdecl REL::Module::init(void),library,127,127,0,0.9921,113,name
0x18001a8f0,,library,392,392,0,0.9898,51,callgraph
0x180035040,"__cdecl REL::IDDatabase::istream_t::istream_t(class std::basic_string_view<wchar_t,struct std::char_traits<wchar_t> >,int)",library,385,385,0,0.9896,349,name
0x180018e10,,plugin,94,94,0,0.9894,24,callgraph
0x18002a8e0,"void __cdecl `anonymous-namespace'::Papyrus_Log(struct RE::StaticFunctionTag *,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >)",plugin,37,36,0,0.9863,24,alias
0x180020e30,,library,163,164,0,0.9847,104,callgraph
0x180039c50,class std::optional<class std::filesystem::path> __cdecl SKSE::log::log_directory(void),library,188,188,0,0.9840,61,name
0x1800124d0,,plugin,375,376,0,0.9800,44,callgraph
0x180019f90,,library,605,605,0,0.9785,130,callgraph
0x1800380b0,bool __cdecl SKSE::PapyrusInterface::Register_Impl(bool (__cdecl *)(class RE::BSScript::IVirtualMachine *)) const,library,46,46,0,0.9783,23,string
0x180037fe0,"bool __cdecl SKSE::MessagingInterface::RegisterListener(const char *,void (__cdecl *)(struct SKSE::MessagingInterface::Message *)) const",library,45,45,0,0.9778,18,callgraph
0x180006b90,,library,66,67,0,0.9774,0,callgraph
0x18000c4e0,,library,396,396,0,0.9773,89,callgraph
0x18000b7f0,,library,322,322,0,0.9752,147,callgraph
0x18000af00,,library,321,321,0,0.9751,146,callgraph
0x18000aa90,,library,315,315,0,0.9746,140,callgraph
0x18000b380,,library,315,315,0,0.9746,140,callgraph
0x18000bc80,,library,315,315,0,0.9746,140,callgraph
0x180028c80,,library,94,95,0,0.9735,65,rtti
0x180055140,,library,75,75,0,0.9733,48,callgraph
0x180051780,,library,36,38,0,0.9730,36,rtti
0x180004230,,library,518,515,0,0.9719,36,callgraph
0x1800038f0,,library,642,644,0,0.9705,38,callgraph
0x18002dd10,void *__cdecl RE::BSTArrayHeapAllocator::allocate(unsigned __int64),library,33,33,0,0.9697,19,name
0x1800439e0,,plugin,32,32,0,0.9688,26,rtti
0x180043a60,,plugin,32,32,0,0.9688,26,rtti
0x180043ae0,,plugin,32,32,0,0.9688,26,rtti
0x180043b60,,plugin,32,32,0,0.9688,26,rtti
0x180043be0,,plugin,32,32,0,0.9688,26,rtti
0x180043c60,,plugin,32,32,0,0.9688,26,rtti
0x180043ce0,,plugin,32,32,0,0.9688,26,rtti
0x180043d60,,plugin,32,32,0,0.9688,26,rtti
0x180004990,,library,516,516,0,0.9671,36,callgraph
0x180008f10,,library,575,569,0,0.9668,19,callgraph
0x18001f8d0,auto __cdecl `anonymous-namespace'::CreateViews::<lambda_4>::operator ()(const char *) const,plugin,29,29,0,0.9655,7,string
0x180043de0,,plugin,26,26,0,0.9615,20,rtti
0x180043e40,,plugin,26,26,0,0.9615,20,rtti
0x180043ea0,,plugin,26,26,0,0.9615,20,callgraph
0x180043f00,,plugin,26,26,0,0.9615,20,rtti
0x180043f60,,plugin,26,26,0,0.9615,20,rtti
0x180043fc0,,plugin,26,26,0,0.9615,20,rtti
0x180044020,,plugin,26,26,0,0.9615,20,callgraph
0x180044080,,plugin,26,26,0,0.9615,20,callgraph
0x1800440e0,,plugin,26,26,0,0.9615,20,rtti
0x180044140,,plugin,26,26,0,0.9615,20,rtti
0x1800441a0,,plugin,26,26,0,0.9615,20,rtti
0x180044200,,plugin,26,26,0,0.9615,20,rtti
0x1800442d0,,plugin,26,26,0,0.9615,20,rtti
0x180044330,,plugin,26,26,0,0.9615,20,rtti
0x180028b60,,library,62,63,0,0.9600,40,rtti
0x18003a500,,library,84,85,0,0.9586,20,callgraph
0x18000cc60,,library,261,261,0,0.9540,62,callgraph
0x180016f50,,plugin,130,130,0,0.9538,68,callgraph
0x1800404d0,,library,66,67,0,0.9474,18,callgraph
0x180028df0,,library,141,142,0,0.9470,73,rtti
0x180029010,,library,45,46,0,0.9451,28,rtti
0x18001b520,,library,35,35,0,0.9429,16,rtti
0x180001010,,library,42,41,0,0.9398,23,callgraph
0x180010350,,plugin,62,62,0,0.9355,25,callgraph
0x1800480f0,,library,31,31,0,0.9355,25,callgraph
0x18001b700,,library,125,125,0,0.9280,23,rtti
0x18002e000,,plugin,47,46,0,0.9247,17,callgraph
0x180044440,,library,46,47,0,0.9247,7,callgraph
0x18001b5b0,,library,25,25,0,0.9200,11,rtti
0x18003a925,,library,53,54,0,0.9159,0,callgraph
0x1800406a0,,library,67,69,0,0.9118,18,callgraph
0x18002e19d,,library,40,39,0,0.9114,13,callgraph
0x180028990,,library,27,28,0,0.9091,15,rtti
0x180046c40,,library,11,11,0,0.9091,5,rtti
0x18002dda0,,plugin,25,26,0,0.9020,7,callgraph
0x180013000,,library,19,19,0,0.8947,8,rtti
0x180013050,,library,19,19,0,0.8947,8,rtti
