address,insn,classification,evidence,reason
0x18002d170,94,plugin,"plugin func 0x180028190  0x1800282a6  void __cdecl `anonymous-namespace'; plugin string 'window.slppCatalogReset({});window.slppCatalogProgress(0,{});' | prior=library",references plugin-owned data/function -> plugin code
0x18002d340,67,plugin,plugin func 0x180028190  0x1800282a6  void __cdecl `anonymous-namespace'; plugin string 'window.slppCatalogDone({});' | prior=library,references plugin-owned data/function -> plugin code
0x18002e340,22,plugin,plugin string 'SexLabPPrism' | prior=plugin,references plugin-owned data/function -> plugin code
0x180016d20,17,plugin,plugin func 0x1800136b0  0x180013754  void __cdecl FocusRecovery::`anony | prior=library,references plugin-owned data/function -> plugin code
0x180016c00,2,plugin,plugin func 0x180013760  0x180013911  void __cdecl FocusRecovery::`anony | prior=library,references plugin-owned data/function -> plugin code
0x18002cfc0,2,plugin,plugin func 0x180023e90  0x180024071  void __cdecl `anonymous-namespace' | prior=library,references plugin-owned data/function -> plugin code
0x18002d4a0,2,plugin,plugin func 0x1800246b0  0x180024e18  auto __cdecl `anonymous-namespace' | prior=library,references plugin-owned data/function -> plugin code
0x18002d4e0,2,plugin,plugin func 0x1800255c0  0x1800257d0  void __cdecl `anonymous-namespace' | prior=library,references plugin-owned data/function -> plugin code
0x18002d4d0,1,plugin,plugin func 0x1800261e0  0x18002678f  void __cdecl `anonymous-namespace' | prior=library,references plugin-owned data/function -> plugin code
0x18000d194,356,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 356 instructions; cannot be decided from static refs
0x180013a20,349,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 349 instructions; cannot be decided from static refs
0x18003fa40,312,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 312 instructions; cannot be decided from static refs
0x18003fec0,306,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 306 instructions; cannot be decided from static refs
0x1800466d0,183,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 183 instructions; cannot be decided from static refs
0x180046910,183,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 183 instructions; cannot be decided from static refs
0x18003af80,173,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 173 instructions; cannot be decided from static refs
0x1800464d0,166,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 166 instructions; cannot be decided from static refs
0x18004ce40,146,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 146 instructions; cannot be decided from static refs
0x18003aa1b,136,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 136 instructions; cannot be decided from static refs
0x18003eb30,134,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 134 instructions; cannot be decided from static refs
0x180005cee,116,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 116 instructions; cannot be decided from static refs
0x1800058ad,113,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 113 instructions; cannot be decided from static refs
0x1800471ca,111,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 111 instructions; cannot be decided from static refs
0x18004d830,102,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 102 instructions; cannot be decided from static refs
0x180013f20,99,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 99 instructions; cannot be decided from static refs
0x18003cd9e,93,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 93 instructions; cannot be decided from static refs
0x180054970,83,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 83 instructions; cannot be decided from static refs
