address,insn,name,class,evidence,action
0x180001100,12,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180001d20,33,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.000,"implement (plugin-owned, no rebuild match)"
0x180005629,2,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.667 (0x180003342),needs manual adjudication
0x1800058ad,113,,PRESENT-UNPAIRED,rebuild 0x18001986d ratio=0.956 (113 insn); 1 rebuild func(s) >=0.95,improve pairing (identity anchors); do NOT implement
0x180005a2e,46,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.636 (0x1800199ee),needs manual adjudication
0x180005cee,116,,PRESENT-UNPAIRED,rebuild 0x18001065e ratio=0.957 (116 insn); 1 rebuild func(s) >=0.95,improve pairing (identity anchors); do NOT implement
0x180005e92,44,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.581 (0x180010802),needs manual adjudication
0x180006110,73,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.473 (0x180003130),"implement (plugin-owned, no rebuild match)"
0x180006216,20,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.700 (0x1800030bb),needs manual adjudication
0x180006262,11,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.600 (0x1800129c6),needs manual adjudication
0x180006290,42,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.333 (0x18005e890),needs manual adjudication
0x180007e01,1,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180007e06,28,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180007e68,39,,ABSENT-LIBRARY,import api-ms-win-crt-runtime-l1-1-0.dll!_invoke_watson | prior=library | tier=library (unreached) | best cross-all ratio=0.416 (0x18000ac18),"build-config / template-shape, not hand-written body"
0x180008a30,7,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.308 (0x180008a60),needs manual adjudication
0x180008a45,21,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180008a98,5,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.800 (0x180056131),needs manual adjudication
0x18000d194,356,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.941 (0x180014c14),needs manual adjudication
0x18000f350,28,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.906 (0x18001b9f0),"implement (plugin-owned, no rebuild match)"
0x18000fea0,11,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.842 (0x180004560),"implement (plugin-owned, no rebuild match)"
0x18000fef0,102,,ABSENT-LIBRARY,import api-ms-win-crt-runtime-l1-1-0.dll!_beginthreadex | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.000,"build-config / template-shape, not hand-written body"
0x180010070,21,.?AVexception@std@@::vtable[0],PRESENT-UNPAIRED,rebuild 0x180003e90 ratio=0.952 (21 insn); 1 rebuild func(s) >=0.95,improve pairing (identity anchors); do NOT implement
0x1800101e0,15,.?AVexception@std@@::vtable[0],UNCERTAIN,no distinctive reference | tier=library (unreached) | best cross-all ratio=0.938 (0x180034080),needs manual adjudication
0x1800102f0,23,.?AVsystem_error@std@@::vtable[0],PRESENT-UNPAIRED,rebuild 0x180003e30 ratio=0.957 (23 insn); 1 rebuild func(s) >=0.95,improve pairing (identity anchors); do NOT implement
0x1800107a0,22,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.533 (0x180055df0),needs manual adjudication
0x180010820,7,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.500 (0x180005790),needs manual adjudication
0x180010839,6,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18001084f,16,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180010885,14,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x1800108c0,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x1800108f0,4,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.800 (0x18000a055),needs manual adjudication
0x1800108fb,6,,ABSENT-LIBRARY,import api-ms-win-crt-runtime-l1-1-0.dll!_invoke_watson | prior=library | tier=library (unreached) | best cross-all ratio=0.833 (0x180009445),"build-config / template-shape, not hand-written body"
0x180010990,40,,ABSENT-LIBRARY,import api-ms-win-crt-runtime-l1-1-0.dll!_invoke_watson | prior=library | tier=library (unreached) | best cross-all ratio=0.806 (0x18000add0),"build-config / template-shape, not hand-written body"
0x180010aa0,14,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.786 (0x18001d120),needs manual adjudication
0x180010b20,55,,ABSENT-LIBRARY,import api-ms-win-crt-runtime-l1-1-0.dll!terminate | prior=library | tier=library (unreached) | best cross-all ratio=0.000,"build-config / template-shape, not hand-written body"
0x180010cb0,7,,ABSENT-LIBRARY,import api-ms-win-crt-runtime-l1-1-0.dll!terminate | prior=library | tier=library (unreached) | best cross-all ratio=0.615 (0x180039020),"build-config / template-shape, not hand-written body"
0x180012a60,49,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.000,"implement (plugin-owned, no rebuild match)"
0x180012b1e,28,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180012b85,12,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x1800130e0,18,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.000,"implement (plugin-owned, no rebuild match)"
