orig_addr,name,area,orig_insn,named
0x180001000,,unclassified,2,no
0x1800010f0,,unclassified,2,no
0x180001100,,unclassified,12,no
0x180001150,,unclassified,2,no
0x180001160,,unclassified,2,no
0x1800011d0,,unclassified,2,no
0x180001d20,,unclassified,33,no
0x180005629,,unclassified,2,no
0x1800058ad,,unclassified,113,no
0x180005a2e,,unclassified,46,no
0x180005cee,,unclassified,116,no
0x180005e92,,unclassified,44,no
0x180006110,,unclassified,73,no
0x180006216,,unclassified,20,no
0x180006262,,unclassified,11,no
0x180006290,,unclassified,42,no
0x180007e01,,unclassified,1,no
0x180007e06,,unclassified,28,no
0x180007e68,,unclassified,39,no
0x180008a30,,unclassified,7,no
0x180008a45,,unclassified,21,no
0x180008a98,,unclassified,5,no
0x18000d194,,unclassified,356,no
0x18000f350,,unclassified,28,no
0x18000fea0,,unclassified,11,no
0x18000fef0,,unclassified,102,no
0x180010460,,unclassified,30,no
0x1800104e0,,unclassified,2,no
0x180010580,,unclassified,2,no
0x180010710,,unclassified,2,no
0x180010780,,unclassified,2,no
0x180010790,,unclassified,5,no
0x1800107a0,,unclassified,22,no
0x180010810,,unclassified,1,no
0x180010820,,unclassified,7,no
0x180010839,,unclassified,6,no
0x18001084f,,unclassified,16,no
0x180010885,,unclassified,14,no
0x1800108c0,,unclassified,13,no
0x1800108f0,,unclassified,4,no
0x1800108fb,,unclassified,6,no
0x180010990,,unclassified,40,no
0x180010a20,,unclassified,1,no
0x180010aa0,,unclassified,14,no
0x180010ad0,,unclassified,6,no
0x180010af0,,unclassified,2,no
0x180010b20,,unclassified,55,no
0x180010c30,,unclassified,1,no
0x180010c40,,unclassified,15,no
0x180010c80,,unclassified,9,no
0x180010ca0,,unclassified,1,no
0x180010cb0,,unclassified,7,no
0x180012a60,,unclassified,49,no
0x180012b1e,,unclassified,28,no
0x180012b85,,unclassified,12,no
0x1800130e0,,unclassified,18,no
0x180013254,,unclassified,6,no
0x180013268,,unclassified,6,no
0x1800133b0,,unclassified,13,no
0x1800133e1,,unclassified,10,no
0x18001368e,,unclassified,1,no
0x180013696,,unclassified,5,no
0x180013920,,unclassified,53,no
0x180013a10,,unclassified,1,no
0x180013a18,,unclassified,1,no
0x180013a20,,unclassified,349,no
0x180013f20,,unclassified,99,no
0x180014571,,unclassified,4,no
0x180014590,,unclassified,15,no
0x1800146d3,,unclassified,6,no
0x180014dd0,,unclassified,13,no
0x180014dfb,,unclassified,84,no
0x180014f16,,unclassified,7,no
0x180015a10,,unclassified,43,no
0x1800161d0,,unclassified,8,no
0x180016317,,unclassified,9,no
0x180016339,,unclassified,4,no
0x180016420,,unclassified,6,no
0x180016440,,unclassified,6,no
0x180016460,,unclassified,6,no
0x180016820,,unclassified,16,no
0x180016860,,unclassified,5,no
0x180016870,,unclassified,17,no
0x180016b02,,unclassified,2,no
0x180016b0c,,unclassified,6,no
0x180016bf0,,unclassified,3,no
0x180016c00,,unclassified,2,no
0x180016c10,,unclassified,66,no
0x180016d20,,unclassified,17,no
0x180016d70,,unclassified,4,no
0x180016d80,,unclassified,5,no
0x180016da0,,unclassified,4,no
0x180017e30,,unclassified,45,no
0x180018cc0,,unclassified,32,no
0x1800190b0,,unclassified,57,no
0x180019160,,unclassified,2,no
0x180019170,,unclassified,2,no
0x180019180,,unclassified,2,no
0x180019190,,unclassified,2,no
0x1800191a0,,unclassified,2,no
0x1800191b0,,unclassified,2,no
0x1800191c0,,unclassified,2,no
0x1800196b0,,unclassified,55,no
0x180019802,,unclassified,15,no
0x18001b34a,,unclassified,13,no
0x18001b380,,unclassified,6,no
0x18001e000,,unclassified,100,no
0x18001e46c,,unclassified,25,no
0x18001e4be,,unclassified,23,no
0x18001e501,,unclassified,1,no
0x18001e506,,unclassified,5,no
0x18001e517,,unclassified,23,no
0x18001e556,,unclassified,49,no
0x18001e610,,unclassified,25,no
