orig_addr,name,area,tier,real_function,orig_insn,named,basis
0x18000d194,,core,library,yes,356,no,
0x180013a20,,core,library,yes,349,no,
0x18003fa40,,core,library,yes,312,no,
0x18003fec0,,core,library,yes,306,no,
0x180047b60,,core,library,yes,194,no,
0x1800466d0,,core,library,yes,183,no,
0x180046910,,core,library,yes,183,no,
0x180044740,.?AV?$_Fmt_iterator_buffer@V?$back_insert_iterator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@DU_Fmt_buffer_traits@2@@std@@::vtable[0],unclassified,library,yes,174,yes,
0x18003af80,,core,library,yes,173,no,
0x180025ce0,,core,library,yes,169,no,
0x18001f0b0,.?AVInputSink@?A0xbb2e73b6@@::vfunc[1],ui,library,yes,167,yes,
0x1800464d0,,core,library,yes,166,no,
0x18004ce40,,core,library,yes,146,no,
0x18003aa1b,,core,library,yes,136,no,
0x18003eb30,,core,library,yes,134,no,
0x180021550,,core,library,yes,127,no,
0x180021a20,,core,library,yes,127,no,
0x180021ec0,,core,library,yes,127,no,
0x180022be0,,core,library,yes,127,no,
0x180025fc0,`anonymous-namespace'::ApplyConsoleVisibility,ui,library,yes,126,yes,
0x1800217d0,,core,library,yes,122,no,
0x180021320,,core,library,yes,117,no,
0x180021ca0,,core,library,yes,117,no,
0x180022340,,core,library,yes,117,no,
0x180022570,,core,library,yes,117,no,
0x1800229b0,,core,library,yes,117,no,
0x180005cee,,core,library,yes,116,no,
0x1800058ad,,core,library,yes,113,no,
0x180021110,,core,library,yes,112,no,
0x1800227a0,,core,library,yes,112,no,
0x180022e60,,core,library,yes,112,no,
0x1800471ca,,core,library,yes,111,no,
0x180013760,FocusRecovery::`anonymous-namespace'::Finalize,ui,library,yes,110,yes,
0x18000fef0,,core,library,yes,102,no,
0x18004d830,,core,library,yes,102,no,
0x18001e000,,core,library,yes,100,no,
0x180013f20,,core,library,yes,99,no,
0x1800146e0,FocusRecovery::`anonymous-namespace'::VerifyCleanup,ui,library,yes,94,yes,
0x18002d170,,core,library,yes,94,no,
0x18003cd9e,,core,library,yes,93,no,
0x18002c0d0,`anonymous-namespace'::RequestSearchInput,ui,library,yes,88,yes,
0x180014dfb,,core,library,yes,84,no,
0x180054970,,core,library,yes,83,no,
0x180023230,,core,library,yes,77,no,
0x180006110,,core,library,yes,73,no,
0x18003ca10,,core,library,yes,73,no,
